USR0000ABOX,"BOX RIVER ALASKA, AK US",2/1/2024,-21,-15,-25
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/2/2024,-24,-13,-30
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/3/2024,-24,-20,-28
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/4/2024,-14,-8,-23
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/5/2024,-1,5,-7
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/6/2024,9,14,4
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/7/2024,14,16,12
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/8/2024,16,23,10
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/9/2024,10,12,7
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/10/2024,15,18,11
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/11/2024,22,24,19
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/12/2024,19,23,15
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/13/2024,30,32,23
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/14/2024,20,32,13
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/15/2024,13,16,9
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/16/2024,9,17,5
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/17/2024,11,18,2
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/18/2024,14,16,13
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/19/2024,16,18,13
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/20/2024,17,19,14
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/21/2024,18,23,12
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/22/2024,21,25,16
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/23/2024,20,26,18
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/24/2024,20,23,16
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/25/2024,12,15,10
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/26/2024,3,8,-8
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/27/2024,-10,-6,-16
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/28/2024,-16,-11,-22
USR0000ABOX,"BOX RIVER ALASKA, AK US",2/29/2024,-15,-8,-21
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/1/2024,-12,0,-21
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/2/2024,-11,-2,-23
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/3/2024,6,14,-2
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/4/2024,19,25,13
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/5/2024,21,25,15
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/6/2024,15,19,8
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/7/2024,4,11,-3
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/8/2024,-5,0,-10
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/9/2024,-9,-1,-14
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/10/2024,-14,-7,-20
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/11/2024,-12,-4,-17
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/12/2024,-12,-5,-17
USR0000ABOX,"BOX RIVER ALASKA, AK US",3/13/2024,-9,1,-17
